Ref,Val,Package,PosX,PosY,Rot,Side
"C1","100nF","CAPC160X80X90L40M",7.620000,17.272000,180.000000,top
"C2","10uF","CAPC160X80X90L40M",12.827000,32.893000,90.000000,top
"C3","100nF","CAPC160X80X90L40M",7.620000,19.177000,0.000000,top
"C4","10uF","CAPC160X80X90L40M",5.969000,6.858000,270.000000,top
"C5","10uF","CAPC160X80X90L40M",8.382000,14.224000,90.000000,top
"C6","10uF","CAPC160X80X90L40M",14.605000,9.525000,90.000000,top
"C7","100nF","CAPC160X80X90L40M",11.938000,6.096000,90.000000,top
"C8","10nF","CAPC160X80X90L40M",13.843000,6.096000,90.000000,top
"C9","100nF","CAPC160X80X90L40M",10.033000,6.096000,90.000000,top
"C10","100nF","CAPC160X80X90L40M",7.874000,6.858000,270.000000,top
"C11","100nF","CAPC160X80X90L40M",11.303000,10.668000,0.000000,top
"C12","10nF","CAPC160X80X90L40M",11.303000,8.763000,0.000000,top
"C14","100nF","CAPC160X80X90L40M",10.922000,32.893000,90.000000,top
"D1","LEDCHIP-LED0805","LEDC200X125X85L40M",6.223000,14.351000,90.000000,top
"P1","U.FL","U.FL",11.811000,14.224000,0.000000,top
"R1","1K","RESC160X80X55L25M",4.953000,19.812000,90.000000,top
"R2"," 10k","RESC160X80X55L25M",10.287000,18.415000,270.000000,top
"R3","1K","RESC160X80X55L25M",12.192000,18.415000,270.000000,top
"R4","1K","RESC160X80X55L25M",14.097000,18.415000,270.000000,top
"R5"," 10k","RESC160X80X55L25M",14.605000,2.286000,90.000000,top
"U1","LSM9DS1","PQFN24P43_300X350X102L35X23M",11.430000,2.286000,270.000000,top
"U2","ATMEGA328P-AU","QFP32P80_900X900X120L60X37M",9.525000,25.654000,180.000000,top
"U3","LP2985AIM5-3.3","SOT23-5P95_280X145L45X40M",7.239000,10.541000,270.000000,top
"U4","RFM95","RFM95",25.520500,8.400000,180.000000,top
"Y1","4MHz","RESONATOR-SMD-4.5X2.0",7.112000,32.893000,180.000000,top
