#,Part,Manufacturer,Qty,Package,Designator,Comments,Est Part Cost (US),Purchase Link (US),Est Part Cost (UK),Purchase Link (UK)
1,ATMEGA328P-AU,Microchip Technology (Atmel),1,TQFP-32,ATMEGA328P-AU,MCU,$2.07,https://www.mouser.com/ProductDetail/Microchip-Technology-Atmel/ATMEGA328P-AU?qs=K8BHR703ZXiCmmgp6%2FGNmQ%3D%3D,£1.42,https://uk.farnell.com/microchip/atmega328p-au/mcu-8bit-atmega-20mhz-tqfp-32/dp/1715486?st=ATMEGA328P
2,CSTCR4M00G55Z-R0,Murata,1,4.5mm x 2mm x 1.15mm,XTAL,3 Pin 4MHz Ceramic Resonator,$0.47,https://www.mouser.com/ProductDetail/Murata-Electronics/CSTCR4M00G55Z-R0?qs=pDxNbvYGEH6wm1j%252BRxuv9Q%3D%3D,£0.07,https://uk.farnell.com/murata/cstcr4m00g55z-r0/resonator-ceramic-4mhz-smd/dp/2470364
3,MCP1801T-3302I/OT,Microchip Technology,1,SOT-23-5,VREG,LDO Voltage Regulator 3.3v 150 mA,$0.42,https://www.mouser.com/ProductDetail/Microchip-Technology/MCP1801T-3302I-OT?qs=aE5D7Pt6ky2SR1F7p8712g%3D%3D&gclid=CjwKCAjw67XpBRBqEiwA5RCocS8IOs4aQ54V2TjSXvqo_H-ZiXuU-LiQvJgIfJvEiobfBh5iGjCReRoCcnkQAvD_BwE,£0.33,https://uk.farnell.com/microchip/mcp1801t-3302i-ot/ic-ldo-3-3v-150ma-sot-23-5/dp/1578370
4,LSM9DS1TR,STMicroelectronics,1,LGA-24,U1,MEMS Module I2C/SPI 9DOF 1.9 V,$6.14,https://www.mouser.com/ProductDetail/STMicroelectronics/LSM9DS1TR?qs=%2Fha2pyFadugNPWbNI427b%2Fm6VhQQsjW8R29DYYU%252BVZS66muBy70Cog%3D%3D,£4.67,https://uk.farnell.com/stmicroelectronics/lsm9ds1tr/mems-accelero-gyroscope-magneto/dp/2532383?st=LSM9DS1TR
5,RFM95W,HopeRF ,1,16-SMD Module,RFM95,915MHZ LoRA Transceiver,$6.40,https://www.ebay.com/itm/HopeRF-RFM95W-915Mhz-LoRa-Ultra-Long-Range-Transceiver-SX1276-compatible/181442612615?hash=item2a3ed28d87:g:vM8AAOSw-nZTo6Gw,£4.95,
6,SMD LED,(Generic),1,0805,D1,2v Generic SMD Green LED,$0.18,https://www.mouser.com/ProductDetail/Wurth-Elektronik/150080VS75000?qs=sGAEpiMZZMseGfSY3csMkQ6oANueNQcIK%252BQ%252BCi1FA%252B%252BNo5BLpHZlWg%3D%3D,£0.22,https://uk.farnell.com/dialight/5988170107f/led-0805-green-20mcd-566nm/dp/1465996
7,10K Ohm Resistor,(Generic) Vishay / MULTICOMP,1,0805,R2,Generic 1/8 watt thick film resistor,$0.10,https://www.mouser.com/ProductDetail/Vishay-Dale/CRCW080510K0FKEAC?qs=sGAEpiMZZMtlubZbdhIBIIZe04wfiaJWcT48uZO055s%3D,£0.09,https://uk.farnell.com/multicomp/mcwr08x1002ftl/res-10k-1-0-125w-0805-thick-film/dp/2447553?st=10k
8,100 Ohm Resistor (CRCW0805100RFKEA),(Generic) Vishay,1,0805,(?),Generic 1/8 watt thick film resistor,$0.10,https://www.mouser.com/ProductDetail/Vishay-Dale/CRCW0805100RFKEA?qs=LOX6nxTstiYDPDKmuLyNLw%3D%3D,£0.23,https://uk.farnell.com/vishay/crcw0805100rfkea/res-100r-1-0-125w-0805-thick-film/dp/1469862?st=100%20ohm%200805
9,1.6K Ohm Resistor,(Generic) Panasonic,1,0805,R1,Generic 1/8 watt thick film resistor,$0.10,https://www.mouser.com/ProductDetail/Panasonic/ERJ-6GEYJ162V?qs=sGAEpiMZZMu61qfTUdNhG6gKAQVNBKOoayIZweVtZWs%3D,£0.03,https://uk.farnell.com/panasonic/erj6geyj162v/res-1k6-5-0-125w-0805-thick-film/dp/2057705
10,0.1 uF Capacitor (08055C104JAT2A),(Generic) AVX,3,0805,"C3,C7,C9",0.1 uF Ceramic Capacitor,$0.23,https://www.mouser.com/ProductDetail/AVX/08055C104JAT2A?qs=rjW0lv%2FNY4O5UTQV%252BL9pEw%3D%3D,£0.16,https://uk.farnell.com/avx/08055c104jat2a/cap-0-1-f-50v-5-x7r-0805/dp/1740673?st=0.1%20%C2%B5F%200805
11,1 uF Capacitor (08055D105KAT2A),(Generic) AVX,1,0805,C4,1 uF Ceramic Capacitor,$0.35,https://www.mouser.com/ProductDetail/AVX/08055D105KAT2A?qs=0ZUpllj3bsbqxjCAZGkcjQ%3D%3D,£0.25,https://uk.farnell.com/avx/08055d105kat2a/cap-1-f-50v-10-x5r-0805/dp/1833815?st=1%20%C2%B5F%200805
12,2.2 uF Capacitor (08053C225K4T2A),(Generic) AVX,1,0805,C5,2.2 uF Ceramic Capacitor,$0.58,https://www.mouser.com/ProductDetail/AVX/08053C225K4T2A?qs=sGAEpiMZZMs0AnBnWHyRQN7%2FAA2D2lPP9ux3TqdLHGfiKKCr6Q1mwQ%3D%3D,£0.23,https://uk.farnell.com/multicomp/mc0805b225k250ct/cap-2-2-f-25v-10-x7r-0805/dp/2320829?st=2.2%20%C2%B5F%200805
13,10 uF Capacitor (GRM21BR61C106KE15K),(Generic) Murata,1,0805,C6,10 uF Ceramic Capacitor,$0.32,https://www.mouser.com/ProductDetail/Murata-Electronics/GRM21BR61C106KE15K?qs=%2Fha2pyFaduhvdMyyAzjmgDDMmtKdiuuaGRpcgCneYO27UPILSeYh30F22yp9Zia5,£0.23,https://uk.farnell.com/murata/grm21br61c106ke15k/cap-10-f-16v-10-x5r-0805/dp/2611940
14,10 nF Capacitor (08051C103KAT2A),(Generic) AVX,1,0805,C8,10 nF Ceramic Capacitor,$0.12,https://www.mouser.com/ProductDetail/AVX/08051C103KAT2A?qs=sGAEpiMZZMs0AnBnWHyRQKZcV7shucx0D%2FIzkJ9GSlE%3D,£0.09,https://uk.farnell.com/avx/08051c103kat2a/cap-0-01-f-100v-10-x7r-0805/dp/1658874?st=10nf%20smd%20capacitor
15,STS21,Sensirion,1,DFN-6,STS21 (Daughterboard),16 bit I2C Temperature Sensor,$3.30,https://www.mouser.com/ProductDetail/Sensirion/STS21?qs=wWC4CIiyLaMB09TamrHprQ%3D%3D,£1.60,https://uk.farnell.com/sensirion/sts21/ic-temp-sensor-14bit-0-2-6-dfn/dp/2085052?MER=bn_level5_4NP_LastViewed_2
